userid,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
392,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,1,Rarely,None,Educational,None,Both,Ok
393,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Social gatherings or parties,Workout session,Others,2,Never,None,None,Well known individuals,Shorter,Ok
394,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Others",4,Never,None,None,None,None,Ok
396,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists, Others",4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
397,2023-07-01,12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists, Others",3,Once a week,Health and Fitness,Conversational,Both,Shorter,Ok
398,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,5,Once a week,Food and cooking,Conversational,Both,Shorter,Satisfied
399,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Sadness or melancholy,"Office hours, While Traveling",Others,4,Never,Food and cooking,Conversational,Both,Shorter,Ok
400,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,All,Night,"Uplifting and motivational, Social gatherings or parties",leisure time,"recommendations, Playlists",4,Never,Comedy,Story telling,None,None,Ok
401,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Satisfied
402,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok
403,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Sports,Story telling,Both,Shorter,Ok
404,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists, Others",4,Rarely,Comedy,Story telling,Both,Shorter,Ok
405,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,Playlists,3,Never,None,None,None,None,Ok
406,2023-07-01,20-35,Male,Less than 6 months,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",leisure time,recommendations,3,Never,None,None,None,None,Ok
407,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,"recommendations, Playlists",4,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
408,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, leisure time",Radio,3,Rarely,None,None,None,Shorter,Ok
409,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,None,None,None,None,Ok
410,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,None,None,None,None,Ok
411,2023-07-01,12-20,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,3,Once a week,Comedy,Story telling,unknown Podcasters,Both,Ok
412,2023-07-01,12-20,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rap,Morning,Relaxation and stress relief,While Traveling,recommendations,5,Daily,Health and Fitness,Story telling,Both,Longer,Very Satisfied
414,2023-07-01,20-35,Female,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
415,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Uplifting and motivational,Workout session,Playlists,5,Several times a week,Comedy,Story telling,Both,Both,Very Satisfied
416,2023-07-01,35-60,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Radio,5,Rarely,Comedy,Educational,Well known individuals,Shorter,Very Satisfied
417,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",recommendations,3,Never,None,None,None,None,Ok
418,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Satisfied
419,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
420,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Lifestyle and Health,Story telling,Both,Shorter,Satisfied
421,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Sadness or melancholy,While Traveling,recommendations,3,Rarely,None,Conversational,Both,Both,Satisfied
422,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,None,None,None,None,Very Dissatisfied
423,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,None,None,None,None,Ok
424,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Once a week,Comedy,None,None,Both,Ok
426,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",Playlists,4,Never,None,None,None,None,Ok
427,2023-07-01,20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Sadness or melancholy,"Workout session, leisure time",Others,4,Never,None,None,None,None,Ok
428,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Never,None,None,None,None,Satisfied
429,2023-07-01,12-20,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, Workout session, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
431,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Sadness or melancholy,While Traveling,"Others, Search",4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
432,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",5,Rarely,Food and cooking,Conversational,Both,Shorter,Satisfied
433,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,Study Hours,Playlists,3,Never,None,Story telling,unknown Podcasters,Shorter,Ok
435,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Rarely,Comedy,None,None,Shorter,Ok
436,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Others",3,Once a week,Sports,None,None,None,Ok
437,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Sports,Educational,Both,Shorter,Satisfied
438,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Several times a week,Comedy,Story telling,Well known individuals,Shorter,Ok
439,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,2,Rarely,Comedy,Educational,Both,Longer,Satisfied
440,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Playlists",3,Rarely,None,None,None,Shorter,Ok
441,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling,",recommendations,4,Several times a week,None,None,None,None,Ok
442,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
443,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Never,None,None,None,None,Ok
445,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied
446,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time",recommendations,4,Never,None,None,None,None,Ok
447,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,Playlists,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok
448,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
449,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, leisure time",Playlists,3,Never,None,None,None,None,Ok
451,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Well known individuals,Shorter,Satisfied
452,2023-07-01,20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,3,Never,None,None,None,None,Ok
453,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,5,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied
454,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Others",5,Rarely,Self help,Story telling,Both,Shorter,Satisfied
455,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,"Classical & melody, dance",Night,Relaxation and stress relief,leisure time,Others,3,Never,None,Conversational,Well known individuals,None,Ok
456,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
457,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Lifestyle and Health,Educational,unknown Podcasters,Shorter,Satisfied
458,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Interview,Both,Shorter,Ok
459,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,Both,Both,Ok
460,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,classical,Night,Relaxation and stress relief,"Office hours, While Traveling",Playlists,4,Rarely,Comedy,Conversational,None,Shorter,Ok
461,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,classical,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Others,4,Never,None,None,None,None,Very Satisfied
462,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,4,Never,None,Conversational,None,Shorter,Ok
464,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Health and Fitness,Educational,Both,Shorter,Satisfied
465,2023-07-01,12-20,Others,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,leisure time,Others,2,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
469,2023-07-01,20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,Uplifting and motivational,While Traveling,Radio,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
471,2023-07-01,20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2,Once a week,Health and Fitness,Interview,Both,Longer,Ok
472,2023-07-01,20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Interview,Well known individuals,Longer,Ok
473,2023-07-01,20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Rarely,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
474,2023-07-01,35-60,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Rap,Afternoon,Sadness or melancholy,While Traveling,Others,3,Once a week,Health and Fitness,Conversational,Both,Both,Dissatisfied
475,2023-07-01,35-60,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, Workout session","Playlists, Radio",3,Once a week,Sports,Interview,Both,Longer,Satisfied
481,2023-07-01,20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Study Hours, leisure time","Playlists, Radio, Others",3,Once a week,Lifestyle and Health,Interview,Both,Both,Ok
483,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,3,Rarely,Sports,Conversational,Both,Both,Ok
484,2023-07-01,12-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,Workout session,"Radio, Others",3,Rarely,Sports,Story telling,Well known individuals,Longer,Ok
485,2023-07-01,20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, leisure time","recommendations, Radio, Others",3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
486,2023-07-01,20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Night,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, leisure time",Radio,3,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied
489,2023-07-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Afternoon,Uplifting and motivational,Workout session,Radio,3,Rarely,Sports,Story telling,unknown Podcasters,Longer,Very Satisfied
490,2023-07-01,20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,"Playlists, Radio",2,Several times a week,Comedy,Story telling,Both,Longer,Ok
491,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,classical,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session","recommendations, Radio, Others",4,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Both,Dissatisfied
493,2023-07-01,6-12,Others,More than 2 years,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,Social gatherings or parties,Study Hours,Radio,3,Several times a week,Sports,Conversational,Well known individuals,Both,Satisfied
494,2023-07-01,12-20,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,"Uplifting and motivational, Social gatherings or parties",While Traveling,Playlists,4,Rarely,Sports,Interview,Both,Both,Very Satisfied
496,2023-07-01,20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,leisure time,Playlists,4,Rarely,Comedy,Story telling,unknown Podcasters,Longer,Satisfied
497,2023-07-01,20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,recommendations,3,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Ok
499,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,"Study Hours, Workout session",Radio,3,Several times a week,Health and Fitness,Story telling,Both,Shorter,Satisfied
500,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Rap,Afternoon,Social gatherings or parties,While Traveling,Playlists,3,Once a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
502,2023-07-01,12-20,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Radio,3,Once a week,Sports,Interview,Well known individuals,Both,Very Dissatisfied
504,2023-07-01,12-20,Others,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Satisfied
506,2023-07-01,20-35,Female,1 year to 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Office hours, While Traveling","recommendations, Radio",3,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied
508,2023-07-01,20-35,Female,Less than 6 months,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Office hours, Study Hours, While Traveling","Playlists, Radio",3,Rarely,Health and Fitness,Conversational,unknown Podcasters,Both,Ok
510,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, leisure time","recommendations, Others",4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Ok
512,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Educational,Educational,Both,Shorter,Satisfied
513,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session","recommendations, Others",4,Once a week,Stories,Story telling,Both,Both,Satisfied
514,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Kpop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, leisure time","recommendations, Playlists, Others",4,Never,None,None,None,None,Ok
515,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4,Rarely,None,Conversational,Both,Shorter,Satisfied
516,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy",While Traveling,recommendations,5,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
517,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,2,Rarely,Comedy,Story telling,Both,Shorter,Ok
518,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,None,Story telling,Both,Shorter,Ok
